s, ikj (i), ikj (ij), ikj (j), kij (i), kij (ij), kij (j)
4,0.15357,0.356492,1.20865,0.0847592,0.303768,1.21069,
5,0.071811,0.970722,4.83505,0.198312,1.08933,4.66638,
6,0.465515,4.02883,18.8445,0.7671,4.30686,18.7928,
7,3.33187,18.2664,76.1533,3.93194,19.4994,73.9343,
8,26.0004,90.1045,303.287,28.9925,93.9486,311.391,
9,--,199.81,--,--,212.728,--
10,--,1590.99,--,--,1681.79,--
11,--,12694.7,--,--,13404.2,--
