0.000411004,0.000410015,0.000410015,0.000410015,0.000410015,0.000410015
0.00082003,0.000821019,0.000410015,0.000410015,0.000411004,0.000410015
0.00246102,0.00287202,0.00246201,0.00246201,0.00287103,0.00246201
0.018462,0.018051,0.018051,0.018872,0.017641,0.018461
0.14359,0.140718,0.14359,0.148513,0.157128,0.142769
1.168,1.44369,1.1561,1.38749,1.19221,1.17662
10.0825,9.6841,10.0119,10.7143,9.43056,10.265
106.2,78.0291,87.8757,128.697,80.0418,130.086
887.851,623.547,788.557,918.007,594.9,887.536
8206.49,4887.27,7706.73,11329,4602.24,10528.6
91816.4,38570.6,74276.6,108793,36551.5,94416.5
